Hercules,1977-78,G,P,E,P,G,E,G,P,E,P,P,P,P,E,P,P,E,P,E,P,G,E,G,P,G,E,G,G,G,G
Sporting de Gijon,1977-78,P,E,G,G,P,P,E,E,G,P,E,E,G,P,G,E,G,G,E,G,G,G,P,G,P,G,E,P,G,E
Santander,1977-78,G,P,E,P,E,P,G,E,P,G,P,P,P,G,P,E,P,P,G,E,E,P,E,P,G,G,P,G,P,E
Elche,1977-78,P,G,P,G,E,G,P,G,P,G,G,P,P,P,P,P,E,G,E,G,P,P,P,G,P,P,P,G,P,P
Salamanca,1977-78,G,G,P,P,G,P,E,G,G,P,G,G,G,E,P,E,P,E,G,P,G,E,P,P,G,P,P,G,G,P
Real Madrid,1977-78,P,G,G,G,G,G,G,P,G,G,G,G,G,P,G,G,E,E,E,G,P,P,G,P,G,P,G,P,G,G
Atletico de Bilbao,1978-79,G,E,G,E,G,P,G,E,G,P,P,G,P,G,P,E,P,P,P,E,G,P,E,P,G,G,P,G,E,E
Rayo Vallecano,1978-79,P,E,E,G,P,P,P,G,P,G,G,P,P,E,E,P,E,G,E,E,P,G,E,G,P,P,P,P,G,E
Sporting de Gijon,1978-79,G,P,G,P,G,E,G,P,G,P,G,E,G,G,G,E,G,E,E,G,G,P,G,G,G,E,P,P,G,E
Atletico de Madrid,1978-79,P,G,G,P,E,G,E,E,G,E,E,G,E,P,P,G,G,E,E,P,G,G,E,E,G,P,G,E,E,P
Las Palmas,1978-79,G,G,G,P,E,P,P,E,E,G,G,E,E,G,P,G,E,G,P,P,G,E,G,G,P,G,G,E,P,G
Sevilla,1978-79,P,E,E,G,E,E,E,G,P,G,P,G,G,P,G,E,E,P,G,E,P,G,P,E,P,G,P,G,P,G
Barcelona,1978-79,G,P,G,P,G,G,P,G,E,G,P,P,G,G,P,G,E,P,E,P,G,G,P,G,P,G,P,G,E,G
Santander,1978-79,P,P,P,E,P,G,P,E,G,G,P,G,P,P,G,P,E,G,G,E,P,G,P,P,P,P,P,G,P,P
Burgos,1978-79,E,E,E,E,E,E,E,P,E,G,P,G,P,P,G,G,P,P,E,E,G,P,G,P,G,P,G,E,G,G
Real Sociedad,1978-79,E,P,P,G,E,G,P,G,G,P,G,P,G,P,G,P,G,G,G,G,P,P,P,G,E,G,G,P,G,G
Celta de Vigo,1978-79,P,P,G,P,E,P,E,P,E,P,P,P,G,G,P,E,P,E,G,P,G,P,G,P,E,P,G,E,E,P
Espanol,1978-79,G,G,P,G,G,P,G,P,P,P,G,E,P,P,G,P,G,E,E,G,E,P,G,P,G,G,G,P,E,P
Hercules,1978-79,G,P,P,P,P,G,G,P,P,P,G,P,G,G,G,G,P,P,E,E,E,P,G,P,E,P,G,E,G,P
Salamanca,1978-79,P,E,P,G,P,E,G,G,P,E,P,G,P,E,P,G,E,G,P,G,P,G,P,G,E,E,P,G,P,P
Recreativo de Huel,1978-79,G,G,E,P,G,P,P,P,E,P,G,P,P,P,P,P,P,E,P,E,G,P,G,P,P,P,P,P,P,G
Zaragoza,1978-79,P,G,P,G,P,P,G,P,G,P,G,P,G,P,G,E,G,E,P,P,P,G,P,P,G,P,G,P,G,P
Real Madrid,1978-79,G,E,G,G,E,G,E,G,E,G,E,E,P,G,E,E,E,G,G,E,P,E,E,G,G,G,G,E,E,G
Valencia,1978-79,P,G,P,E,E,G,E,G,P,G,P,G,G,G,P,P,E,P,E,G,P,G,P,G,P,G,P,G,P,E
Betis,1979-80,P,P,E,P,E,P,P,E,E,G,E,G,P,E,P,E,E,G,G,E,G,G,E,G,E,G,P,G,P,G
Rayo Vallecano,1979-80,G,P,P,E,E,P,E,G,E,G,P,G,P,E,E,E,P,P,P,P,P,G,P,G,G,E,P,G,P,G
Espanol,1979-80,G,G,G,P,E,E,E,P,E,P,P,P,E,E,G,G,E,E,E,E,G,P,P,P,P,P,E,P,E,G
AD Almeria,1979-80,P,G,E,E,P,E,P,E,P,G,P,G,P,G,E,E,P,E,E,E,P,G,P,G,P,G,E,P,G,P
Sporting de Gijon,1979-80,G,G,G,G,G,G,G,E,P,P,E,G,P,E,P,G,G,P,E,P,G,P,G,E,G,P,G,P,E,P
Sevilla,1979-80,P,G,P,G,E,P,G,P,E,E,G,P,G,P,G,P,G,G,P,G,P,P,P,P,G,E,G,E,G,P
Real Sociedad,1979-80,G,G,E,E,G,E,G,E,G,G,G,E,G,E,E,G,E,E,G,E,G,E,G,G,E,E,G,G,E,G
Las Palmas,1979-80,P,G,P,G,P,G,E,G,E,P,G,P,G,P,G,P,G,E,P,G,E,E,G,G,G,P,G,P,P,P
Burgos,1979-80,G,P,E,P,E,P,E,P,G,P,E,P,G,E,E,P,E,P,G,P,E,P,E,P,E,P,P,P,P,G
CD Malaga,1979-80,P,P,G,E,G,P,G,P,E,P,E,P,P,P,E,P,P,G,E,P,G,E,G,P,P,P,P,G,P,P
Hercules,1979-80,P,P,G,E,E,P,G,P,E,P,G,E,E,E,E,G,P,P,G,P,E,P,E,P,G,P,E,P,E,P
Atletico de Madrid,1979-80,G,P,E,E,E,E,E,P,P,P,G,P,G,E,E,E,E,G,E,G,P,G,G,P,P,P,G,P,G,E
Real Madrid,1979-80,G,G,G,E,G,G,E,G,P,G,E,G,G,G,E,G,P,P,G,G,G,G,E,G,E,E,E,G,G,G
Valencia,1979-80,P,E,E,E,P,G,P,G,G,G,P,G,G,P,E,E,E,G,E,E,E,G,E,G,P,G,P,G,E,P
Salamanca,1979-80,G,E,G,E,G,G,G,P,E,P,P,P,P,G,P,E,P,P,E,G,E,P,P,P,E,G,P,G,E,P
Atletico de Bilbao,1979-80,P,P,P,P,E,G,P,G,E,G,G,P,G,P,G,E,G,G,P,G,P,G,P,G,G,G,E,P,G,P
Zaragoza,1979-80,E,P,P,G,P,P,P,G,G,G,E,G,P,G,P,E,G,P,E,E,P,P,G,P,P,G,G,G,P,E
Barcelona,1979-80,E,G,P,E,P,G,P,G,E,E,P,G,P,G,E,P,G,G,P,P,E,E,E,E,E,G,P,G,G,G
Espanol,1980-81,G,P,G,P,G,P,G,G,E,E,P,G,P,E,P,E,G,P,G,P,E,G,E,P,G,P,G,G,G,P
Hercules,1980-81,P,E,G,E,E,G,P,P,P,G,E,P,E,G,P,E,G,G,P,E,G,P,E,P,P,P,G,E,P,P
Sporting de Gijon,1980-81,G,E,G,E,E,P,G,E,E,P,G,P,E,E,P,G,G,P,G,P,G,E,G,G,G,E,G,P,P,G
Betis,1980-81,P,P,G,G,E,P,G,G,G,P,E,P,G,P,G,P,P,G,E,E,G,G,G,G,E,P,G,P,E,G
Sevilla,1980-81,G,P,G,G,G,P,P,G,E,G,P,G,G,E,P,E,P,E,E,P,G,E,G,E,E,G,P,G,P,G
Salamanca,1980-81,P,P,P,E,P,P,E,P,P,P,P,E,G,P,G,P,G,E,E,G,P,P,E,P,P,G,P,G,E,P
Valencia,1980-81,G,G,P,G,G,E,G,P,G,P,G,G,G,E,P,G,G,P,E,E,E,G,G,P,E,P,E,P,G,G
Real Sociedad,1980-81,P,G,G,E,E,P,G,G,G,P,G,P,G,E,G,E,P,G,G,G,P,P,E,P,G,G,G,E,G,G
AD Almeria,1980-81,P,E,P,E,P,E,P,E,P,E,P,G,P,P,P,G,P,P,E,G,P,E,P,G,P,G,P,P,P,P
Real Madrid,1980-81,G,G,P,G,P,G,P,G,P,G,E,G,P,G,E,P,E,G,E,G,E,P,P,G,G,G,P,G,G,G
Atletico de Bilbao,1980-81,P,P,G,E,P,G,P,P,E,G,P,P,P,G,G,G,P,G,E,E,G,G,P,G,P,E,E,E,G,P
Zaragoza,1980-81,G,G,G,G,E,E,P,P,P,G,E,P,P,P,E,E,G,P,E,P,E,E,P,G,P,P,P,E,E,G
Atletico de Madrid,1980-81,G,E,G,E,G,G,G,G,G,P,G,E,E,G,G,G,E,G,E,P,G,P,P,E,G,G,G,P,E,P
Valladolid,1980-81,P,E,P,P,E,G,P,G,P,G,P,G,E,E,P,E,E,P,E,E,P,G,E,P,E,G,G,E,E,G
Murcia,1980-81,P,G,P,P,E,E,G,P,P,E,P,P,P,P,P,G,P,P,E,G,E,P,G,P,E,P,P,G,P,G
Barcelona,1980-81,G,G,P,P,P,G,P,P,G,G,G,G,G,E,G,P,G,G,P,G,E,G,G,G,E,G,P,P,E,P
Osasuna,1980-81,G,P,P,E,G,G,G,P,G,E,G,P,G,E,G,P,E,P,P,E,P,P,E,P,P,P,G,E,G,P
